system_id,OS,CPU_Model,CPU_Cores,GPU_Names,Memory_Total_GB,cpu_floating_point_operations,cpu_parallel_processing,memory_allocation,gpu_tensor_operations,gpu_tiny_training_loop,disk_write_time,disk_read_time,ml_best_score,plot_generate_scatter_plot,plot_animate_sine_wave,plot_render_large_image,reference_index,cpu_floating_point,ml_grid_search_time,plot_scatter_plot_time,plot_animation_time,plot_large_image_time
Darwin | Apple M4 Max (14 cores) | NVIDIA GPU not found or pynvml failed. | 36.0GB RAM,Darwin,Apple M4 Max,14,NVIDIA GPU not found or pynvml failed.,36.0,0.0047332048416137695,2.3650999069213867,4.5299530029296875e-06,0.00031757354736328125,0.002623915672302246,0.02580845355987549,0.003941535949707031,0.942562248173592,0.004453539848327637,0.9976018667221069,0.4644615650177002,45907.167442322985,,,,,
Darwin | Unknown CPU (Unknown Cores cores) | Apple M-series GPU | UnknownGB RAM,Darwin,Unknown CPU,Unknown Cores,Apple M-series GPU,Unknown,0.004395008087158203,3.066918134689331,4.76837158203125e-06,0.00033211708068847656,0.0021359920501708984,0.025611162185668945,0.003936290740966797,0.9020000594449326,0.0036954879760742188,0.8469710350036621,0.212538480758667,,0.004603028297424316,13.99528694152832,0.003480195999145508,0.8568770885467529,0.2208540439605713
